[训练] Epoch 1, Step 80, Loss: 1.9820
[训练] Epoch 1, Step 81, Loss: 1.8067
[训练] Epoch 1, Step 82, Loss: 1.7808
[训练] Epoch 1, Step 83, Loss: 1.9313
[训练] Epoch 1, Step 84, Loss: 1.7682
[训练] Epoch 1, Step 85, Loss: 1.4729
[训练] Epoch 1, Step 86, Loss: 2.1320
[训练] Epoch 1, Step 87, Loss: 1.7439
[训练] Epoch 1, Step 88, Loss: 1.7617
[训练] Epoch 1, Step 89, Loss: 1.4983
[训练] Epoch 1, Step 90, Loss: 1.7182
[训练] Epoch 1, Step 91, Loss: 1.8404
[训练] Epoch 1, Step 92, Loss: 1.8184
[训练] Epoch 1, Step 93, Loss: 1.9449
[训练] Epoch 1, Step 94, Loss: 1.6861
[训练] Epoch 1, Step 95, Loss: 1.9041
[训练] Epoch 1, Step 96, Loss: 1.7217
[训练] Epoch 1, Step 97, Loss: 1.4018
[训练] Epoch 1, Step 98, Loss: 1.7035
[训练] Epoch 1, Step 99, Loss: 1.6587
[训练] Epoch 1, Step 100, Loss: 1.8305
[训练] Epoch 1, Step 101, Loss: 2.0502
[训练] Epoch 1, Step 102, Loss: 1.8334
[训练] Epoch 1, Step 103, Loss: 1.7962
[训练] Epoch 1, Step 104, Loss: 1.6422
[训练] Epoch 1, Step 105, Loss: 1.8786
[训练] Epoch 1, Step 106, Loss: 1.7498
[训练] Epoch 1, Step 107, Loss: 1.7648
[训练] Epoch 1, Step 108, Loss: 1.8813
[训练] Epoch 1, Step 109, Loss: 1.9231
[训练] Epoch 1, Step 110, Loss: 1.6120
[训练] Epoch 1, Step 111, Loss: 1.7322
[训练] Epoch 1, Step 112, Loss: 1.8351
[训练] Epoch 1, Step 113, Loss: 1.6547
[训练] Epoch 1, Step 114, Loss: 1.6312
[训练] Epoch 1, Step 115, Loss: 1.6288
[训练] Epoch 1, Step 116, Loss: 1.5453
[训练] Epoch 1, Step 117, Loss: 1.5246
[训练] Epoch 1, Step 118, Loss: 2.1080
[训练] Epoch 1, Step 119, Loss: 1.6370
[训练] Epoch 1, Step 120, Loss: 1.6957
[训练] Epoch 1, Step 121, Loss: 1.6814
[训练] Epoch 1, Step 122, Loss: 1.8690
[训练] Epoch 1, Step 123, Loss: 1.7623
[训练] Epoch 1, Step 124, Loss: 2.0459
[训练] Epoch 1, Step 125, Loss: 1.7843
